frames_RND,AvgRewardRND(10),StdRewardRND(10)
1123,-295.9954430182252,290.6529599417455
5046,-260.3285417443642,200.71531655810603
9882,-214.07573498805056,217.74470622354644
14871,-128.26868816754558,106.89852129498219
19854,-225.34438557451077,99.79852414444768
23947,-200.28170790398752,40.67282867098853
29713,-222.52560214840156,72.82208864896616
35293,-179.93445819638188,49.040323490787365
43765,-99.95494985147674,26.217814826816657
52964,-81.01816158715744,23.10043397603765
62273,-87.39906839617531,55.04726992412582
71671,-65.74895073327579,29.199653187093812
81671,-61.71672774986409,29.12558552406608
90826,-34.000529798461756,28.502139794866935
100366,-53.84058220078305,27.7894052567501
109308,-51.043056073871355,59.525527280574785
117551,-47.36429935350785,23.096763931079245
125870,-54.99798033863124,34.823160457363166
134224,-98.14571335480053,73.3685234522267
144224,-30.790049024024295,26.514550708043796
154224,-18.74341986702917,17.388582678011026
164224,-23.610837927119043,20.403955895099642
174224,1.6250341121175509,17.468829078623514
184224,-3.9354525778931455,19.479252264376537
194224,-18.807379811466,19.97791027985562
204224,-14.163892617429568,23.112702932844943
214224,-3.915986382342846,15.01083416905308
221252,-15.809935301637896,82.52185587839669
225940,2.3073435371486597,117.22872428977438
233766,34.18929365439544,112.91905549092135
239797,47.57634992057361,153.42737688142793
246457,61.9490658127912,148.67661383370384
252777,130.3944803698053,90.75215133971135
256377,151.45553057612688,163.43299268550496
259118,145.04099053445157,126.41446255561598
260831,-20.764084816759194,199.54182861175255
262870,-13.948987571360579,140.79989427008675
264659,-79.60224812342106,166.65103364447492
266398,-116.34977787946691,111.46107028788308
267861,-85.64843925422905,147.20217100186667
270706,-56.521065931571016,189.0311212484193
274126,53.2228959526539,173.04583862536137
277921,142.7081462113135,125.03282490298142
281989,184.31738985673692,123.40146542970882
285149,136.52635426563435,121.39018014236194
288233,133.1512554150126,126.98472471275879
291689,227.92444484653083,69.06154465423954
295382,148.52550142301936,138.61779557097353
299629,258.8672057092366,14.382750656886135
303042,154.909207918053,148.78616829106804
306083,229.27802726603613,73.84631272224406
309026,262.48657648268244,16.558151158096315
312083,240.10384073481168,80.45190219221136
314873,230.3938149942981,83.4348196581327
317636,257.92126559304677,24.531257915170023
321866,242.57517507321626,65.42563703966844
326124,175.7365326693676,152.68214024168844
328949,174.8354309703388,164.10237852613656
331956,196.03711512245232,101.57927475655045
334694,256.7037737581982,25.669783118075507
338438,61.684880045573536,215.56816443547675
341333,113.70875599157975,270.2205198753068
343944,80.52339824426258,223.18785320351458
346571,-14.31013283737806,239.14005458000761
351540,127.33539386338634,171.31968652932994
356548,146.4264697532985,139.85445667294573
360539,194.63421370405771,101.17485438455324
365650,124.59188873988342,143.34527869224357
369858,113.4260432555127,165.09162698082432
372166,119.97065518870991,148.74742623495717
375558,-8.95477040635907,140.32160734839297
378473,20.83685638614717,144.2221569413575
382434,56.90380628556984,167.96049188013754
384280,-13.982978947723728,182.7316542943567
386265,-75.7493888112398,156.62284211682024
387804,-81.06188329715017,36.29684606694847
390189,-67.31883931752213,162.01870633161784
393042,-5.426555150245633,200.41819738494723
397191,71.05168049436816,169.30445304934045
399853,-1.3749230574483966,172.38466350003978
402812,130.3593328827469,159.60768679828638
405439,66.79403568235148,160.9870926676009
408059,164.18020306298706,139.08698842603445
412108,187.99868272655462,102.16496826033065
415875,218.00322147915122,92.71255947971669
419911,187.34751151403472,157.27029755958588
423535,250.4694911803384,29.935940814111767
426862,215.8544767202813,141.03697584296282
430774,193.33323467376064,146.74200188267378
435192,111.27936638719136,187.30734756567009
438868,230.240450044443,34.787256925307155
442509,161.20009937166682,122.6289859936407
448357,153.60039182793136,139.48015519428793
452592,206.75776635262164,69.88656743599896
458084,96.04420295281548,120.63574828031132
460643,149.98048738521678,133.89469681647554
464328,220.11067843169067,93.31512664306565
466484,84.45657450008036,160.46044830368635
468407,72.38716856809931,160.6469345448465
471717,72.82682546029824,149.02136128707326
474046,-28.36405112271519,170.26900700025013
475720,-10.82295339968311,173.50687494929315
477566,63.55685528302335,173.23722210106928
479234,-3.1735715338673076,169.04644747718814
481740,88.31609514586462,187.64682495688228
484539,58.8980513501986,195.7281201611676
486953,64.0495919186486,220.6741127084609
490557,91.50947216003769,241.27370222574925
493003,-28.224094247806352,237.89369805264025
496510,199.16880415253996,172.86961577387572
499331,169.97593604438904,168.0044639283157
502294,156.1163120258239,184.3778306208888
505243,199.12979936689982,166.57836353745853
507929,186.17009463579976,145.66761641005556
510766,245.8437514023056,79.10742363885313
513589,259.3282345136343,24.509927027003407
516874,231.9887648476139,98.99845001243223
519720,158.76868659027576,108.3379148463528
522751,183.32858529087207,141.13786610409093
526519,77.11083388974887,209.24327751104698
530199,118.43154031230793,196.78386424246875
533513,64.00578682645579,236.83255061603575
538524,43.62525511789735,257.4744415537387
542691,121.870346843992,201.92438084947204
545214,265.9339117495776,21.352185475490614
548131,262.7357575097909,17.115757114119642
551047,224.18072285182689,135.6009752006553
553829,257.041455879325,14.684130019581714
